Filename,Modifecationdate,size,Owner,Group,uid,permission
temp/sbin/mdmon,8-Nov-2017,319280,root,root,1,-rwxr-xr-x
temp/sbin/mii-tool,30-Jun-2014,19264,root,root,1,-rwxr-xr-x
temp/sbin/mkdosfs,26-May-2016,8,root,root,1,lrwxrwxrwx
temp/sbin/mke2fs,30-Oct-2015,106392,root,root,1,-rwxr-xr-x
temp/sbin/mkfs,30-Nov-2017,10592,root,root,1,-rwxr-xr-x
temp/sbin/mkfs.bfs,30-Nov-2017,27224,root,root,1,-rwxr-xr-x
temp/sbin/mkfs.cramfs,30-Nov-2017,35456,root,root,1,-rwxr-xr-x
temp/sbin/mkfs.ext2,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/sbin/mkfs.ext3,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/sbin/mkfs.ext4,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/sbin/mkfs.ext4dev,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/sbin/mkfs.fat,26-May-2016,27128,root,root,1,-rwxr-xr-x
temp/sbin/mkfs.minix,30-Nov-2017,76912,root,root,1,-rwxr-xr-x
temp/sbin/mkfs.msdos,26-May-2016,8,root,root,1,lrwxrwxrwx
temp/sbin/mkfs.ntfs,28-Jan-2017,6,root,root,1,lrwxrwxrwx
temp/sbin/mkfs.vfat,26-May-2016,8,root,root,1,lrwxrwxrwx
temp/sbin/mkfs.xfs,8-Sep-2017,364216,root,root,1,-rwxr-xr-x
temp/sbin/mkhomedir_helper,16-Mar-2016,18848,root,root,1,-rwxr-xr-x
temp/sbin/mkntfs,28-Jan-2017,84080,root,root,1,-rwxr-xr-x
temp/sbin/mkswap,30-Nov-2017,72944,root,root,1,-rwxr-xr-x
temp/sbin/modinfo,8-Mar-2018,9,root,root,1,lrwxrwxrwx
temp/sbin/modprobe,8-Mar-2018,9,root,root,1,lrwxrwxrwx
temp/sbin/mount.fuse,12-Jul-2016,10232,root,root,1,-rwxr-xr-x
temp/sbin/mount.lowntfs-3g,28-Jan-2017,15,root,root,1,lrwxrwxrwx
temp/sbin/mount.ntfs,28-Jan-2017,13,root,root,1,lrwxrwxrwx
temp/sbin/mount.ntfs-3g,28-Jan-2017,12,root,root,1,lrwxrwxrwx
temp/sbin/mount.vmhgfs,15-Feb-2018,68504,root,root,1,-rwxr-xr-x
temp/sbin/nameif,30-Jun-2014,14816,root,root,1,-rwxr-xr-x
temp/sbin/ntfsclone,28-Jan-2017,55408,root,root,1,-rwxr-xr-x
temp/sbin/ntfscp,28-Jan-2017,34920,root,root,1,-rwxr-xr-x
temp/sbin/ntfslabel,28-Jan-2017,26728,root,root,1,-rwxr-xr-x
temp/sbin/ntfsresize,28-Jan-2017,71792,root,root,1,-rwxr-xr-x
temp/sbin/ntfsundelete,28-Jan-2017,51304,root,root,1,-rwxr-xr-x
temp/sbin/on_ac_power,2-Dec-2009,2251,root,root,1,-rwxr-xr-x
temp/sbin/pam_extrausers_chkpwd,16-Mar-2016,35632,shadow,root,1,-rwxr-sr-x
